date,location,location_name,cases,seq_total,seq_delta,share_delta,cases_available,seq_available
2021-03-20,GM,Germany,87328,,,,2021-03-20,
2021-03-27,GM,Germany,109442,,,,2021-03-27,
2021-04-03,GM,Germany,117965,,,,2021-04-03,
2021-04-10,GM,Germany,107223,,,,2021-04-10,
2021-04-17,GM,Germany,142664,6000,6,0.001,2021-04-17,2021-05-01
2021-04-24,GM,Germany,145568,4857,34,0.007,2021-04-24,2021-05-08
2021-05-01,GM,Germany,131887,3857,54,0.014,2021-05-01,2021-05-15
2021-05-08,GM,Germany,107141,4944,89,0.018,2021-05-08,2021-05-22
2021-05-15,GM,Germany,77261,3885,101,0.026,2021-05-15,2021-05-29
2021-05-22,GM,Germany,57310,3967,119,0.03,2021-05-22,2021-06-05
2021-05-29,GM,Germany,33052,2914,102,0.035,2021-05-29,2021-06-12
2021-06-05,GM,Germany,22631,2338,180,0.077,2021-06-05,2021-06-19
2021-06-12,GM,Germany,15553,1612,287,0.178,2021-06-12,2021-06-26
2021-06-19,GM,Germany,7659,997,390,0.391,2021-06-19,2021-07-03
2021-06-26,GM,Germany,5033,743,443,0.596,2021-06-26,2021-07-10
2021-07-03,GM,Germany,4181,779,592,0.76,2021-07-03,2021-07-17
2021-07-10,GM,Germany,5067,476,399,0.838,2021-07-10,2021-07-24
2021-07-17,GM,Germany,7969,,,,2021-07-17,2021-07-31
2021-07-24,GM,Germany,11122,,,,2021-07-24,2021-08-07
