date,location_name,location,cases,cases_available,seq_available,seq_voc,seq_total,share_voc
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-06,0,260,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-12,0,260,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-15,0,260,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-19,0,260,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-20,0,260,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-23,0,260,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-26,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-07-29,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-04,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-07,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-12,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-16,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-19,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-24,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-27,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-08-31,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-09-02,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-09-08,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-09-09,0,261,0
2021-01-02,Austria,AT,61439,2021-01-02,2021-09-13,0,261,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-06-23,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-06-24,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-06-25,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-06-28,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-06-30,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-06,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-09,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-12,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-15,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-19,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-20,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-23,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-26,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-07-29,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-08-04,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-08-07,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-08-12,0,179,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-08-16,0,181,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-08-19,0,181,0
2021-01-02,Belgium,BE,57354,2021-01-02,2021-08-24,0,181,0
